,Ano,Mês,Município,Produto,Unidade de Medida,Preço médio
75,2018,12,ANGRA DOS REIS,GLP,R$/13Kg,71.18
76,2018,12,ANGRA DOS REIS,ÓLEO DIESEL,R$/l,3.819
77,2018,12,ANGRA DOS REIS,ÓLEO DIESEL S10,R$/l,3.866
78,2018,12,APARECIDA DE GOIANIA,ETANOL HIDRATADO,R$/l,3.158
79,2018,12,APARECIDA DE GOIANIA,GASOLINA COMUM,R$/l,4.566
80,2018,12,APARECIDA DE GOIANIA,GLP,R$/13Kg,72.368
81,2018,12,APARECIDA DE GOIANIA,ÓLEO DIESEL,R$/l,3.397
82,2018,12,APARECIDA DE GOIANIA,ÓLEO DIESEL S10,R$/l,3.574
83,2018,12,APUCARANA,ETANOL HIDRATADO,R$/l,2.92
84,2018,12,APUCARANA,GASOLINA COMUM,R$/l,4.371
85,2018,12,APUCARANA,GLP,R$/13Kg,66.5
86,2018,12,APUCARANA,ÓLEO DIESEL,R$/l,3.427
87,2018,12,APUCARANA,ÓLEO DIESEL S10,R$/l,3.476
88,2018,12,ARACAJU,ETANOL HIDRATADO,R$/l,3.269
89,2018,12,ARACAJU,GASOLINA COMUM,R$/l,4.395
90,2018,12,ARACAJU,GLP,R$/13Kg,70.833
91,2018,12,ARACAJU,ÓLEO DIESEL,R$/l,3.613
92,2018,12,ARACAJU,ÓLEO DIESEL S10,R$/l,3.648
93,2018,12,ARACATUBA,ETANOL HIDRATADO,R$/l,2.477
94,2018,12,ARACATUBA,GASOLINA COMUM,R$/l,4.081
95,2018,12,ARACATUBA,GLP,R$/13Kg,65.824
96,2018,12,ARACATUBA,ÓLEO DIESEL,R$/l,3.296
97,2018,12,ARACATUBA,ÓLEO DIESEL S10,R$/l,3.462
98,2018,12,ARACRUZ,ETANOL HIDRATADO,R$/l,3.64
99,2018,12,ARACRUZ,GASOLINA COMUM,R$/l,4.502
100,2018,12,ARACRUZ,GLP,R$/13Kg,61.429
101,2018,12,ARACRUZ,ÓLEO DIESEL,R$/l,3.408
102,2018,12,ARACRUZ,ÓLEO DIESEL S10,R$/l,3.437
103,2018,12,ARAGUAINA,ETANOL HIDRATADO,R$/l,3.812
104,2018,12,ARAGUAINA,GASOLINA COMUM,R$/l,4.686
105,2018,12,ARAGUAINA,GLP,R$/13Kg,75.0
106,2018,12,ARAGUAINA,ÓLEO DIESEL,R$/l,3.441
107,2018,12,ARAGUAINA,ÓLEO DIESEL S10,R$/l,3.466
108,2018,12,ARAGUARI,ETANOL HIDRATADO,R$/l,2.947
109,2018,12,ARAGUARI,GASOLINA COMUM,R$/l,4.607
110,2018,12,ARAGUARI,GLP,R$/13Kg,74.0
111,2018,12,ARAGUARI,ÓLEO DIESEL,R$/l,3.285
112,2018,12,ARAGUARI,ÓLEO DIESEL S10,R$/l,3.421
113,2018,12,ARAPIRACA,ETANOL HIDRATADO,R$/l,3.34
114,2018,12,ARAPIRACA,GASOLINA COMUM,R$/l,4.702
115,2018,12,ARAPIRACA,GLP,R$/13Kg,65.0
116,2018,12,ARAPIRACA,ÓLEO DIESEL,R$/l,3.75
117,2018,12,ARAPIRACA,ÓLEO DIESEL S10,R$/l,3.806
118,2018,12,ARAPONGAS,ETANOL HIDRATADO,R$/l,2.893
119,2018,12,ARAPONGAS,GASOLINA COMUM,R$/l,4.318
120,2018,12,ARAPONGAS,GLP,R$/13Kg,70.524
121,2018,12,ARAPONGAS,ÓLEO DIESEL,R$/l,3.203
122,2018,12,ARAPONGAS,ÓLEO DIESEL S10,R$/l,3.307
123,2018,12,ARARANGUA,ETANOL HIDRATADO,R$/l,3.441
124,2018,12,ARARANGUA,GASOLINA COMUM,R$/l,3.97
125,2018,12,ARARANGUA,GLP,R$/13Kg,67.5
